,end,start,datasets-created,filters-created,datasets-deleted,rows-accessed-widget,rows-accessed-print,charts-created,rows-loaded-rss,rows-accessed-website,rows-created,maps-deleted,bytes-out,rows-loaded-download,rows-accessed-download,maps-created,rows-deleted,rows-loaded-print,disk-usage,view-loaded,rows-accessed-rss,charts-deleted,filters-deleted,page-views,users-created,bytes-in,rows-loaded-widget,rows-accessed-api,rows-loaded-api,rows-loaded-website
0,1357171199999,1357084800000,281,8,280,429,5,45,2633,3803,1285159,537,2424597680,695256,338,537,637316,9157,6945014079,420,73,45,5,1245,11,20088918,4118,71,4067,50398
1,1357257599999,1357171200000,37,25,38,212,4,55,5792,3025,2057247,38,3587227328,1745268,334,38,1031786,2381,6945489215,324,139,55,25,1073,11,14176851,2672,60,1063,65326
2,1357343999999,1357257600000,21,9,18,454,9,2,3361,3711,1037660,12,2454264033,776988,328,12,379344,21239,6945800511,371,81,2,9,1656,6,19659099,6579,29,43797,85480
3,1357430399999,1357344000000,20,11,23,55,4,46,2284,1534,1046307,25,2122377356,705344,315,25,662519,7923,6946906431,147,48,46,11,836,7,8722689,1222,32,12934,31873
4,1357516799999,1357430400000,23,11,22,161,6,46,2183,2389,1317344,12,2468714238,965829,334,12,654480,13574,6946758975,210,49,46,10,1156,6,12445928,2391,10,9,51547
5,1357603199999,1357516800000,19,27,19,136,10,46,3235,4312,1618535,25,3821421718,3044343,342,25,663539,33605,6947103039,426,68,46,28,1595,5,26400988,3232,17,17,100005
6,1357689599999,1357603200000,22,10,21,98,16,46,15355,2613,1239871,12,4126743925,2751786,351,12,646084,33650,6907429183,524,412,46,10,1760,9,16713929,2871,89,3670,55724
7,1357775999999,1357689600000,84,10,86,225,34,46,11173,3321,1482388,159,4605157386,5288278,510,169,779159,87300,6908404031,970,278,46,10,1667,14,16635578,2904,195,190,74437
8,1357862399999,1357776000000,311,15,311,307,5,46,1534,1779,2805391,612,3447535725,2005320,333,613,1403682,7195,6909387071,460,31,46,12,1868,13,11452310,3220,27,61967,41426
9,1357948799999,1357862400000,311,10,310,497,9,46,3866,2937,2956514,588,3787028122,2081858,336,588,1474512,8198,6908936511,335,81,46,10,1503,18,19537562,3425,1,0,84879
10,1358035199999,1357948800000,310,12,311,367,5,46,2660,1540,2847349,612,3384065973,1649743,325,612,1430301,18461,6911246655,161,59,46,12,874,4,9772893,3420,2,1,29744
11,1358121599999,1358035200000,311,10,310,334,3,46,1636,1093,2651607,588,3112622461,663174,310,588,1324101,6645,6911615295,149,38,46,10,811,8,6424582,3102,21,21584,21092
12,1358207999999,1358121600000,317,109,318,118,14,46,4518,3196,4556795,612,5740470633,913723,325,613,2279286,30878,6961217855,337,96,46,108,1574,8,15687292,3072,9,8,49848
